직원ID,퇴직여부,나이,성별,출장빈도,일대비급여수준,부서,집과의거리,전공,업무환경만족도,업무참여도,업무만족도,결혼여부,월급여,일한회사수,직원수,18세이상,야근정도,급여증가분백분율,스톡옵션정도,근속연수,현재역할년수,마지막승진년수
288,No,46,Male,Travel_Rarely,644,Research & Development,1,Medical,4,3,1,Divorced,9396,7,1,Y,No,16,1,4,2,0
291,Yes,32,Male,Travel_Rarely,1045,Sales,4,Medical,4,1,4,Married,10400,1,1,Y,No,11,0,14,8,9
292,No,30,Male,Non-Travel,829,Research & Development,1,Life Sciences,3,2,3,Single,8474,1,1,Y,No,22,0,11,8,5
293,No,27,Female,Travel_Frequently,1242,Sales,20,Life Sciences,4,3,3,Single,9981,1,1,Y,No,14,0,7,7,0
296,No,51,Male,Travel_Rarely,1469,Research & Development,8,Life Sciences,2,2,2,Married,12490,5,1,Y,No,16,2,10,9,4
297,Yes,30,Female,Travel_Rarely,1005,Research & Development,3,Technical Degree,4,3,1,Single,2657,5,1,Y,Yes,11,0,5,2,0
298,No,41,Female,Travel_Rarely,896,Sales,6,Life Sciences,4,3,4,Single,13591,3,1,Y,Yes,18,0,1,0,0
299,Yes,30,Female,Travel_Frequently,334,Sales,26,Marketing,3,2,1,Single,6696,5,1,Y,No,15,0,6,3,0
300,Yes,29,Male,Travel_Rarely,992,Research & Development,1,Technical Degree,3,3,3,Single,2058,0,1,Y,No,14,0,6,2,1
302,No,45,Female,Non-Travel,1052,Sales,6,Medical,4,2,4,Single,8865,6,1,Y,No,12,0,19,7,12
303,No,54,Female,Travel_Rarely,1147,Sales,3,Marketing,4,3,1,Married,5940,2,1,Y,No,14,1,6,2,0
304,No,36,Male,Travel_Rarely,1396,Research & Development,5,Life Sciences,4,3,2,Single,5914,8,1,Y,No,16,0,13,11,3
305,No,33,Female,Travel_Rarely,147,Research & Development,4,Medical,3,2,2,Married,2622,6,1,Y,No,21,0,3,2,1
306,No,37,Male,Travel_Frequently,663,Research & Development,11,Other,2,3,4,Divorced,12185,1,1,Y,Yes,14,3,10,8,0
307,No,38,Male,Travel_Rarely,119,Sales,3,Life Sciences,1,3,3,Divorced,10609,0,1,Y,No,12,2,16,10,5
308,No,31,Male,Non-Travel,979,Research & Development,1,Medical,3,1,3,Married,4345,0,1,Y,No,12,1,5,4,1
309,No,59,Male,Travel_Rarely,142,Research & Development,3,Life Sciences,3,2,4,Married,2177,3,1,Y,No,17,1,1,0,0
311,No,37,Male,Travel_Frequently,319,Sales,4,Marketing,1,3,4,Divorced,2793,4,1,Y,No,17,1,9,8,5
312,No,29,Female,Travel_Frequently,1413,Sales,1,Medical,2,3,4,Married,7918,1,1,Y,No,14,1,11,10,4
314,No,35,Female,Travel_Frequently,944,Sales,1,Marketing,3,3,3,Single,8789,1,1,Y,No,14,0,10,7,0
315,Yes,29,Male,Travel_Rarely,896,Research & Development,18,Medical,3,2,4,Single,2389,1,1,Y,Yes,13,0,4,3,0
316,No,52,Female,Travel_Rarely,1323,Research & Development,2,Life Sciences,3,2,4,Single,3212,7,1,Y,No,15,0,2,2,2
319,No,42,Male,Travel_Rarely,532,Research & Development,4,Technical Degree,3,3,4,Married,19232,1,1,Y,No,11,0,22,17,11
321,No,59,Male,Travel_Rarely,818,Human Resources,6,Medical,2,3,3,Married,2267,8,1,Y,No,17,0,2,2,2
323,No,50,Female,Travel_Rarely,854,Sales,1,Medical,4,3,4,Divorced,19517,3,1,Y,No,11,1,7,0,0
325,Yes,33,Male,Travel_Rarely,813,Research & Development,14,Medical,3,3,4,Married,2436,5,1,Y,Yes,13,1,5,4,0
327,No,43,Female,Travel_Rarely,1034,Sales,16,Marketing,4,3,4,Married,16064,5,1,Y,Yes,22,1,17,13,1
328,Yes,33,Female,Travel_Rarely,465,Research & Development,2,Life Sciences,1,3,1,Married,2707,7,1,Y,No,20,0,9,7,1
329,No,52,Male,Non-Travel,771,Sales,2,Life Sciences,1,2,3,Single,19068,1,1,Y,Yes,18,0,33,7,15
330,No,32,Female,Travel_Rarely,1401,Sales,4,Life Sciences,3,3,2,Married,3931,2,1,Y,No,11,1,4,3,1
331,Yes,32,Male,Travel_Rarely,515,Research & Development,1,Life Sciences,4,2,3,Single,3730,0,1,Y,Yes,14,0,3,2,1
332,No,39,Female,Travel_Rarely,1431,Research & Development,1,Medical,3,3,3,Divorced,2232,7,1,Y,No,14,3,3,2,1
333,No,32,Male,Non-Travel,976,Sales,26,Marketing,3,3,4,Married,4465,0,1,Y,No,18,0,3,2,2
334,No,41,Male,Travel_Rarely,1411,Research & Development,19,Life Sciences,3,3,1,Divorced,3072,2,1,Y,No,16,2,1,0,0
335,No,40,Male,Travel_Rarely,1300,Research & Development,24,Technical Degree,1,3,4,Divorced,3319,1,1,Y,No,17,2,9,8,4
336,No,45,Male,Travel_Rarely,252,Research & Development,1,Other,3,4,4,Married,19202,0,1,Y,No,11,1,24,0,1
337,No,31,Male,Travel_Frequently,1327,Research & Development,3,Medical,2,3,3,Divorced,13675,9,1,Y,No,12,1,2,2,2
338,No,33,Female,Travel_Rarely,832,Research & Development,5,Life Sciences,3,2,4,Married,2911,1,1,Y,No,13,1,2,2,0
339,No,34,Male,Travel_Rarely,470,Research & Development,2,Life Sciences,4,2,1,Married,5957,6,1,Y,No,13,1,11,9,5
340,No,37,Female,Travel_Rarely,1017,Research & Development,1,Medical,3,2,1,Married,3920,2,1,Y,No,14,1,3,1,0
341,No,45,Male,Travel_Frequently,1199,Research & Development,7,Life Sciences,1,4,3,Married,6434,4,1,Y,No,17,1,3,2,0
342,Yes,37,Male,Travel_Frequently,504,Research & Development,10,Medical,1,3,3,Divorced,10048,6,1,Y,No,11,2,1,0,0
343,No,39,Female,Travel_Frequently,505,Research & Development,2,Technical Degree,3,3,3,Single,10938,0,1,Y,No,25,0,19,6,11
346,No,29,Male,Travel_Rarely,665,Research & Development,15,Life Sciences,3,3,4,Single,2340,1,1,Y,No,19,0,6,5,1
347,No,42,Female,Travel_Rarely,916,Research & Development,17,Life Sciences,4,4,1,Single,6545,3,1,Y,Yes,13,0,3,2,0
349,No,29,Male,Travel_Rarely,1247,Sales,20,Marketing,4,3,4,Divorced,6931,2,1,Y,No,14,1,3,2,0
350,No,25,Female,Travel_Rarely,685,Research & Development,1,Life Sciences,1,3,3,Married,4898,0,1,Y,No,12,2,4,2,1
351,No,42,Female,Travel_Rarely,269,Research & Development,2,Medical,4,2,1,Divorced,2593,0,1,Y,Yes,11,1,9,6,7
352,No,40,Male,Travel_Rarely,1416,Research & Development,2,Medical,1,3,3,Divorced,19436,0,1,Y,No,19,1,21,7,3
353,No,51,Male,Travel_Rarely,833,Research & Development,1,Life Sciences,3,3,4,Married,2723,1,1,Y,No,11,0,1,0,0
355,Yes,31,Male,Travel_Frequently,307,Research & Development,29,Medical,3,2,2,Single,3479,0,1,Y,No,11,0,5,4,1
359,No,32,Male,Travel_Frequently,1311,Research & Development,7,Life Sciences,2,4,2,Married,2794,1,1,Y,No,20,0,5,1,0
361,No,38,Male,Non-Travel,1327,Sales,2,Life Sciences,4,2,4,Married,5249,3,1,Y,No,18,1,8,7,7
362,No,32,Male,Travel_Rarely,128,Research & Development,2,Technical Degree,4,2,1,Single,2176,4,1,Y,No,13,0,6,2,0
363,No,46,Female,Travel_Rarely,488,Sales,2,Technical Degree,3,1,2,Married,16872,3,1,Y,Yes,12,1,7,7,7
364,Yes,28,Male,Travel_Rarely,529,Research & Development,2,Life Sciences,1,3,3,Single,3485,2,1,Y,No,11,0,0,0,0
366,No,29,Male,Travel_Rarely,1210,Sales,2,Medical,1,2,2,Married,6644,2,1,Y,No,19,2,0,0,0
367,No,31,Male,Travel_Rarely,1463,Research & Development,23,Medical,2,2,4,Married,5582,0,1,Y,No,21,1,9,0,7
369,No,25,Male,Non-Travel,675,Research & Development,5,Life Sciences,2,4,1,Divorced,4000,1,1,Y,No,12,2,6,3,1
372,No,45,Male,Travel_Rarely,1385,Research & Development,20,Medical,3,3,4,Married,13496,0,1,Y,Yes,14,0,20,7,4
373,No,36,Male,Travel_Rarely,1403,Research & Development,6,Life Sciences,4,3,4,Married,3210,0,1,Y,No,11,1,15,13,10
374,No,55,Male,Travel_Rarely,452,Research & Development,1,Medical,4,3,1,Single,19045,0,1,Y,Yes,14,0,36,10,4
376,Yes,47,Male,Non-Travel,666,Research & Development,29,Life Sciences,1,3,2,Married,11849,1,1,Y,Yes,12,1,10,7,9
377,No,28,Male,Travel_Rarely,1158,Research & Development,9,Medical,4,3,4,Married,2070,1,1,Y,No,23,1,5,2,0
378,No,37,Male,Travel_Rarely,228,Sales,6,Medical,3,3,4,Married,6502,4,1,Y,No,14,1,5,4,0
379,No,21,Male,Travel_Rarely,996,Research & Development,3,Medical,4,2,3,Single,3230,1,1,Y,No,17,0,3,2,1
380,No,37,Female,Non-Travel,728,Research & Development,1,Medical,1,3,4,Divorced,13603,2,1,Y,Yes,18,2,5,2,0
381,No,35,Female,Travel_Rarely,1315,Research & Development,22,Life Sciences,2,4,2,Divorced,11996,7,1,Y,No,18,1,7,7,6
382,No,38,Female,Travel_Rarely,322,Sales,7,Medical,1,4,1,Divorced,5605,1,1,Y,Yes,24,1,8,0,7
384,No,26,Female,Travel_Frequently,1479,Research & Development,1,Life Sciences,3,3,2,Divorced,6397,1,1,Y,No,20,1,6,5,1
385,No,50,Male,Travel_Rarely,797,Research & Development,4,Life Sciences,1,3,2,Divorced,19144,3,1,Y,No,14,2,10,4,1
386,No,53,Male,Travel_Rarely,1070,Research & Development,3,Medical,3,3,3,Married,17584,3,1,Y,Yes,16,3,5,3,1
387,No,42,Male,Travel_Rarely,635,Sales,1,Life Sciences,2,3,3,Married,4907,1,1,Y,No,25,0,20,16,11
388,No,29,Male,Travel_Frequently,442,Sales,2,Life Sciences,2,3,4,Single,4554,1,1,Y,No,18,0,10,7,0
389,No,55,Male,Travel_Rarely,147,Research & Development,20,Technical Degree,2,3,4,Married,5415,3,1,Y,Yes,19,1,10,7,0
390,No,26,Male,Travel_Frequently,496,Research & Development,11,Medical,1,3,1,Married,4741,1,1,Y,Yes,13,1,5,3,3
391,No,37,Female,Travel_Rarely,1372,Research & Development,1,Life Sciences,4,3,4,Single,2115,1,1,Y,No,12,0,17,12,5
392,Yes,44,Male,Travel_Frequently,920,Research & Development,24,Life Sciences,4,3,3,Divorced,3161,3,1,Y,Yes,22,1,1,0,0
393,No,38,Male,Travel_Rarely,688,Research & Development,23,Life Sciences,4,3,4,Divorced,5745,9,1,Y,No,14,1,2,2,1
394,Yes,26,Male,Travel_Rarely,1449,Research & Development,16,Medical,1,3,2,Divorced,2373,2,1,Y,Yes,13,1,3,2,0
395,No,28,Female,Travel_Rarely,1117,Research & Development,8,Life Sciences,4,3,4,Single,3310,1,1,Y,No,21,0,5,3,0
396,No,49,Female,Travel_Frequently,636,Research & Development,10,Life Sciences,3,3,1,Single,18665,9,1,Y,Yes,11,0,3,2,1
397,No,36,Male,Travel_Rarely,506,Research & Development,3,Technical Degree,3,3,2,Single,4485,4,1,Y,No,12,0,8,0,7
399,No,31,Female,Travel_Frequently,444,Sales,5,Marketing,4,3,2,Divorced,2789,1,1,Y,No,11,1,2,2,2
401,Yes,26,Male,Travel_Rarely,950,Sales,4,Marketing,4,2,4,Single,5828,1,1,Y,Yes,12,0,8,7,7
403,No,37,Male,Travel_Frequently,889,Research & Development,9,Medical,2,3,4,Married,2326,1,1,Y,Yes,12,3,4,2,1
404,No,42,Female,Travel_Frequently,555,Sales,26,Marketing,3,3,2,Married,13525,5,1,Y,No,14,1,20,4,4
405,Yes,18,Male,Travel_Rarely,230,Research & Development,3,Life Sciences,3,3,3,Single,1420,1,1,Y,No,13,0,0,0,0
406,No,35,Male,Travel_Rarely,1232,Sales,16,Marketing,3,3,2,Married,8020,0,1,Y,No,15,2,11,9,6
407,No,36,Male,Travel_Frequently,566,Research & Development,18,Life Sciences,3,4,4,Married,3688,4,1,Y,No,18,2,1,0,0
408,No,51,Male,Travel_Rarely,1302,Research & Development,2,Medical,4,1,2,Divorced,5482,5,1,Y,No,18,1,4,1,1
410,No,41,Male,Travel_Rarely,334,Sales,2,Life Sciences,4,3,2,Single,16015,1,1,Y,No,19,0,22,10,0
411,No,18,Female,Travel_Rarely,812,Sales,10,Medical,4,2,3,Single,1200,1,1,Y,No,12,0,0,0,0
412,No,28,Male,Travel_Rarely,1476,Research & Development,16,Medical,2,4,1,Single,5661,0,1,Y,No,19,0,8,3,0
416,No,31,Male,Travel_Rarely,218,Sales,7,Technical Degree,2,4,4,Married,6929,4,1,Y,No,11,1,8,7,7
417,No,39,Male,Travel_Rarely,1132,Research & Development,1,Medical,3,4,4,Divorced,9613,0,1,Y,No,17,3,18,10,3
419,No,36,Female,Non-Travel,1105,Research & Development,24,Life Sciences,2,3,2,Married,5674,7,1,Y,No,15,1,9,8,0
420,No,32,Male,Travel_Rarely,906,Sales,7,Life Sciences,4,2,3,Married,5484,1,1,Y,No,14,1,13,8,4
421,No,38,Female,Travel_Rarely,849,Research & Development,25,Life Sciences,1,2,2,Married,12061,3,1,Y,No,17,1,10,8,0
422,No,58,Male,Non-Travel,390,Research & Development,1,Life Sciences,4,1,3,Divorced,5660,2,1,Y,Yes,13,1,5,3,1
423,No,31,Male,Travel_Rarely,691,Research & Development,5,Technical Degree,3,3,4,Married,4821,0,1,Y,Yes,12,1,5,2,0
424,No,31,Male,Travel_Rarely,106,Human Resources,2,Human Resources,1,2,1,Married,6410,3,1,Y,No,12,0,2,2,1
425,No,45,Male,Travel_Frequently,1249,Research & Development,7,Life Sciences,1,3,1,Divorced,5210,1,1,Y,No,18,1,24,9,9
426,No,31,Male,Travel_Rarely,192,Research & Development,2,Life Sciences,3,3,4,Divorced,2695,0,1,Y,Yes,18,1,2,2,2
428,No,33,Female,Travel_Frequently,553,Research & Development,5,Life Sciences,4,3,2,Married,11878,6,1,Y,No,11,2,10,6,8
429,No,39,Male,Travel_Rarely,117,Research & Development,10,Medical,3,3,1,Married,17068,1,1,Y,Yes,14,0,21,9,11
430,No,43,Female,Travel_Frequently,185,Research & Development,10,Life Sciences,3,3,4,Single,2455,0,1,Y,No,19,0,8,7,1
431,No,49,Female,Travel_Rarely,1091,Research & Development,1,Technical Degree,3,2,3,Single,13964,7,1,Y,Yes,12,0,7,1,0
433,Yes,52,Male,Travel_Rarely,723,Research & Development,8,Medical,3,2,2,Married,4941,2,1,Y,No,15,0,8,2,7
434,No,27,Female,Travel_Rarely,1220,Research & Development,5,Life Sciences,3,3,2,Single,2478,1,1,Y,Yes,12,0,4,3,1
436,No,32,Female,Travel_Rarely,588,Sales,8,Technical Degree,3,2,2,Married,5228,1,1,Y,Yes,11,0,13,12,11
437,No,27,Male,Travel_Rarely,1377,Sales,2,Life Sciences,4,3,3,Single,4478,1,1,Y,Yes,11,0,5,4,0
438,No,31,Male,Travel_Rarely,691,Sales,7,Marketing,4,3,4,Divorced,7547,4,1,Y,No,12,3,7,7,1
439,No,32,Female,Travel_Rarely,1018,Research & Development,2,Medical,1,4,4,Single,5055,7,1,Y,No,16,0,7,7,0
440,Yes,28,Male,Travel_Rarely,1157,Research & Development,2,Medical,1,1,4,Married,3464,5,1,Y,Yes,13,0,3,2,2
441,No,30,Female,Travel_Rarely,1275,Research & Development,28,Medical,4,3,4,Married,5775,1,1,Y,No,13,2,10,8,1
442,No,31,Female,Travel_Frequently,798,Research & Development,7,Life Sciences,3,2,3,Married,8943,1,1,Y,No,24,1,10,9,8
444,No,39,Male,Travel_Frequently,672,Research & Development,7,Medical,3,2,4,Married,19272,1,1,Y,No,15,1,21,9,13
445,Yes,39,Female,Travel_Rarely,1162,Sales,3,Medical,4,3,3,Married,5238,4,1,Y,Yes,18,0,1,0,0
446,No,33,Male,Travel_Frequently,508,Sales,10,Marketing,2,2,4,Single,4682,3,1,Y,No,14,0,7,7,0
447,No,47,Male,Travel_Rarely,1482,Research & Development,5,Life Sciences,4,3,3,Married,18300,4,1,Y,No,11,1,3,2,1
448,No,43,Female,Travel_Frequently,559,Research & Development,10,Life Sciences,3,2,3,Divorced,5257,1,1,Y,No,11,1,9,7,0
449,No,27,Male,Non-Travel,210,Sales,1,Marketing,3,3,2,Married,6349,0,1,Y,Yes,13,1,5,4,1
450,No,54,Female,Travel_Frequently,928,Research & Development,20,Life Sciences,4,3,3,Single,4869,3,1,Y,No,12,0,4,3,0
451,No,43,Female,Travel_Rarely,1001,Research & Development,7,Life Sciences,3,3,1,Married,9985,8,1,Y,No,16,1,1,0,0
452,No,45,Male,Travel_Rarely,549,Research & Development,8,Other,4,3,4,Married,3697,9,1,Y,No,14,2,10,9,9
453,No,40,Male,Travel_Rarely,1124,Sales,1,Medical,2,1,4,Married,7457,2,1,Y,Yes,22,3,4,3,0
454,Yes,29,Male,Travel_Rarely,318,Research & Development,8,Other,2,1,1,Married,2119,1,1,Y,Yes,11,0,7,7,0
455,No,29,Male,Travel_Rarely,738,Research & Development,9,Other,2,2,4,Single,3983,0,1,Y,No,17,0,3,2,2
456,No,30,Female,Travel_Rarely,570,Sales,5,Marketing,4,2,3,Divorced,6118,1,1,Y,No,13,3,10,9,1
458,No,27,Female,Travel_Rarely,1130,Sales,8,Marketing,2,3,2,Married,6214,1,1,Y,No,18,1,8,7,0
460,No,37,Male,Travel_Rarely,1192,Research & Development,5,Medical,4,3,4,Divorced,6347,7,1,Y,No,16,2,6,2,0
461,No,38,Male,Travel_Rarely,343,Research & Development,15,Life Sciences,3,2,4,Divorced,11510,0,1,Y,Yes,14,1,11,10,2
462,No,31,Female,Travel_Rarely,1232,Research & Development,7,Medical,3,3,4,Single,7143,1,1,Y,Yes,14,0,11,9,4
463,No,29,Female,Travel_Rarely,144,Sales,10,Marketing,4,2,2,Divorced,8268,1,1,Y,Yes,14,2,7,7,1
464,No,35,Male,Travel_Rarely,1296,Research & Development,5,Technical Degree,3,3,2,Single,8095,0,1,Y,No,13,0,16,6,0
465,No,23,Male,Travel_Rarely,1309,Research & Development,26,Life Sciences,3,3,4,Divorced,2904,1,1,Y,No,12,2,4,2,0
466,No,41,Male,Travel_Rarely,483,Research & Development,6,Medical,4,2,2,Single,6032,6,1,Y,Yes,15,0,5,4,1
467,No,47,Male,Travel_Frequently,1309,Sales,4,Medical,2,3,3,Single,2976,3,1,Y,No,19,0,0,0,0
468,No,42,Female,Travel_Rarely,810,Research & Development,23,Life Sciences,1,3,4,Single,15992,2,1,Y,No,14,0,1,0,0
469,No,29,Male,Non-Travel,746,Sales,2,Life Sciences,4,3,3,Married,4649,1,1,Y,No,14,1,4,3,0
470,No,42,Male,Travel_Rarely,544,Human Resources,2,Technical Degree,3,3,3,Divorced,2696,0,1,Y,Yes,11,1,3,2,1
471,No,32,Female,Travel_Rarely,1062,Research & Development,2,Medical,3,3,2,Married,2370,1,1,Y,No,13,1,8,0,0
473,No,48,Female,Travel_Rarely,530,Sales,29,Medical,1,3,3,Married,12504,3,1,Y,No,21,1,0,0,0
474,No,37,Male,Travel_Rarely,1319,Research & Development,6,Medical,3,4,1,Divorced,5974,4,1,Y,Yes,13,2,7,7,6
475,No,30,Female,Non-Travel,641,Sales,25,Technical Degree,4,3,3,Married,4736,7,1,Y,Yes,12,1,2,2,2
476,No,26,Male,Travel_Rarely,933,Sales,1,Life Sciences,3,3,3,Married,5296,1,1,Y,No,17,1,8,7,7
477,No,42,Male,Travel_Rarely,1332,Research & Development,2,Other,1,2,4,Single,6781,3,1,Y,No,23,0,1,0,0
478,Yes,21,Female,Travel_Frequently,756,Sales,1,Technical Degree,1,2,2,Single,2174,1,1,Y,Yes,11,0,3,2,1
479,No,36,Female,Non-Travel,845,Sales,1,Medical,4,3,4,Single,6653,4,1,Y,No,15,0,1,0,0
481,No,36,Male,Travel_Frequently,541,Sales,3,Medical,1,2,4,Married,9699,4,1,Y,No,11,1,13,9,1
482,No,57,Male,Travel_Rarely,593,Research & Development,1,Medical,4,3,3,Married,6755,2,1,Y,No,11,0,3,2,1
483,No,40,Female,Travel_Rarely,1171,Research & Development,10,Life Sciences,4,4,3,Married,2213,3,1,Y,Yes,13,1,7,7,1
484,No,21,Male,Non-Travel,895,Sales,9,Medical,1,3,4,Single,2610,1,1,Y,No,24,0,3,2,2
485,Yes,33,Female,Travel_Rarely,350,Sales,5,Marketing,4,3,3,Single,2851,1,1,Y,Yes,13,0,1,0,0
486,No,37,Female,Travel_Rarely,921,Research & Development,10,Medical,3,3,1,Married,3452,6,1,Y,No,20,1,5,4,0
487,No,46,Female,Non-Travel,1144,Research & Development,7,Medical,3,3,3,Married,5258,2,1,Y,No,14,0,1,0,0
488,Yes,41,Male,Travel_Frequently,143,Sales,4,Marketing,1,3,2,Single,9355,1,1,Y,No,18,0,8,7,7
491,No,50,Male,Travel_Rarely,1046,Research & Development,10,Technical Degree,4,2,4,Single,10496,6,1,Y,No,15,0,4,3,1
492,Yes,40,Male,Travel_Rarely,575,Sales,22,Marketing,3,2,3,Married,6380,2,1,Y,Yes,12,2,6,4,1
493,No,31,Male,Travel_Rarely,408,Research & Development,9,Life Sciences,3,2,2,Single,2657,0,1,Y,Yes,16,0,2,2,2
494,Yes,21,Female,Travel_Rarely,156,Sales,12,Life Sciences,3,4,2,Single,2716,1,1,Y,No,15,0,1,0,0
495,No,29,Male,Travel_Rarely,1283,Research & Development,23,Life Sciences,4,3,4,Single,2201,9,1,Y,No,16,0,3,2,1
496,No,35,Male,Travel_Rarely,755,Research & Development,9,Life Sciences,3,2,2,Single,6540,9,1,Y,No,19,0,1,1,0
497,No,27,Male,Travel_Rarely,1469,Research & Development,1,Medical,4,3,2,Divorced,3816,1,1,Y,No,11,1,5,2,0
498,No,28,Male,Travel_Rarely,304,Sales,9,Life Sciences,2,3,4,Single,5253,1,1,Y,No,16,0,7,5,0
499,No,49,Male,Travel_Rarely,1261,Research & Development,7,Other,2,2,3,Single,10965,8,1,Y,No,24,0,5,2,0
500,No,51,Female,Travel_Rarely,1178,Sales,14,Life Sciences,3,3,4,Married,4936,4,1,Y,No,11,1,7,7,0
501,No,36,Female,Travel_Rarely,329,Research & Development,2,Life Sciences,4,3,3,Married,2543,4,1,Y,No,13,1,2,2,2
502,Yes,34,Male,Non-Travel,1362,Sales,19,Marketing,1,4,4,Single,5304,8,1,Y,Yes,13,0,5,2,0
505,No,55,Female,Travel_Rarely,1311,Research & Development,2,Life Sciences,3,3,4,Single,16659,2,1,Y,Yes,13,0,5,4,1
507,No,24,Female,Travel_Rarely,1371,Sales,10,Marketing,4,3,3,Divorced,4260,1,1,Y,Yes,12,1,5,2,0
508,No,30,Male,Travel_Rarely,202,Sales,2,Technical Degree,3,3,2,Married,2476,1,1,Y,No,18,1,1,0,0
510,Yes,26,Male,Travel_Frequently,575,Research & Development,3,Technical Degree,3,3,1,Single,3102,0,1,Y,No,22,0,6,4,0
511,No,22,Female,Travel_Rarely,253,Research & Development,11,Medical,1,3,2,Married,2244,1,1,Y,No,13,1,2,1,1
513,No,36,Male,Travel_Rarely,164,Sales,2,Medical,2,2,3,Married,7596,1,1,Y,No,13,2,10,9,9
514,Yes,30,Male,Travel_Frequently,464,Research & Development,4,Technical Degree,3,3,4,Single,2285,9,1,Y,Yes,23,0,1,0,0
515,No,37,Female,Travel_Rarely,1107,Research & Development,14,Life Sciences,4,3,1,Divorced,3034,1,1,Y,No,12,1,18,7,12
516,No,40,Female,Travel_Rarely,759,Sales,2,Marketing,4,3,2,Divorced,5715,7,1,Y,No,12,2,5,4,1
517,No,42,Female,Travel_Rarely,201,Research & Development,1,Life Sciences,2,3,1,Divorced,2576,3,1,Y,No,16,1,5,2,1
518,No,37,Male,Travel_Rarely,1305,Research & Development,10,Life Sciences,3,3,2,Single,4197,2,1,Y,Yes,12,0,1,0,0
520,No,43,Male,Travel_Rarely,982,Research & Development,12,Life Sciences,1,2,2,Divorced,14336,1,1,Y,No,11,1,25,10,3
521,No,40,Female,Travel_Rarely,555,Research & Development,2,Medical,2,2,3,Married,3448,6,1,Y,No,22,1,1,0,0
522,No,54,Male,Travel_Rarely,821,Research & Development,5,Medical,1,3,1,Married,19406,4,1,Y,No,11,1,4,2,1
523,No,34,Female,Non-Travel,1381,Sales,4,Marketing,3,3,3,Married,6538,9,1,Y,No,15,1,3,2,1
524,No,31,Female,Travel_Rarely,480,Research & Development,7,Medical,2,3,1,Married,4306,1,1,Y,No,12,1,13,10,3
525,No,43,Male,Travel_Frequently,313,Research & Development,21,Medical,4,3,4,Married,2258,7,1,Y,No,20,1,3,2,1
526,No,43,Female,Travel_Rarely,1473,Research & Development,8,Other,3,3,3,Divorced,4522,4,1,Y,Yes,14,0,5,2,0
527,No,25,Female,Travel_Rarely,891,Sales,4,Life Sciences,2,2,4,Single,4487,1,1,Y,Yes,11,0,5,4,1
529,No,37,Female,Non-Travel,1063,Research & Development,25,Medical,2,3,3,Married,4449,3,1,Y,Yes,15,2,13,11,10
530,No,31,Male,Travel_Rarely,329,Research & Development,1,Life Sciences,4,2,1,Married,2218,1,1,Y,No,12,1,4,2,3
531,No,39,Male,Travel_Frequently,1218,Research & Development,1,Life Sciences,2,3,3,Divorced,19197,1,1,Y,Yes,14,1,21,8,1
532,No,56,Female,Travel_Frequently,906,Sales,6,Life Sciences,3,4,1,Married,13212,9,1,Y,No,11,3,7,7,7
533,No,30,Female,Travel_Rarely,1082,Sales,12,Technical Degree,2,3,3,Single,6577,0,1,Y,No,11,0,5,4,4
534,No,41,Male,Travel_Rarely,645,Sales,1,Marketing,2,4,1,Married,8392,1,1,Y,No,16,1,10,7,0
536,No,28,Male,Travel_Rarely,1300,Research & Development,17,Medical,3,3,1,Divorced,4558,1,1,Y,No,12,1,10,0,1
538,Yes,25,Male,Travel_Rarely,688,Research & Development,3,Medical,1,3,1,Married,4031,5,1,Y,No,13,1,2,2,0
543,No,52,Male,Travel_Rarely,319,Research & Development,3,Medical,4,2,3,Married,7969,2,1,Y,Yes,14,0,5,4,0
544,No,45,Male,Travel_Rarely,192,Research & Development,10,Life Sciences,1,3,4,Married,2654,3,1,Y,No,21,2,2,2,0
546,No,52,Female,Travel_Rarely,1490,Research & Development,4,Life Sciences,4,3,4,Married,16555,2,1,Y,No,13,0,5,2,1
547,No,42,Female,Travel_Frequently,532,Research & Development,29,Life Sciences,1,3,3,Divorced,4556,2,1,Y,No,11,1,5,4,0
548,No,30,Female,Travel_Rarely,317,Research & Development,2,Life Sciences,3,1,4,Single,6091,2,1,Y,No,20,0,5,4,0
549,No,60,Female,Travel_Rarely,422,Research & Development,7,Life Sciences,1,3,1,Married,19566,5,1,Y,No,11,0,29,8,11
550,No,46,Female,Travel_Rarely,1485,Research & Development,18,Medical,3,3,3,Divorced,4810,2,1,Y,No,14,1,10,7,0
551,No,42,Female,Travel_Frequently,1368,Research & Development,28,Technical Degree,4,2,4,Married,4523,0,1,Y,No,11,3,6,5,0
554,Yes,24,Female,Travel_Rarely,1448,Sales,1,Technical Degree,1,3,2,Single,3202,1,1,Y,Yes,16,0,5,3,1
555,Yes,34,Female,Travel_Frequently,296,Sales,6,Marketing,4,1,3,Divorced,2351,0,1,Y,No,16,1,2,2,1
556,No,38,Male,Travel_Frequently,1490,Research & Development,2,Life Sciences,4,3,4,Married,1702,1,1,Y,Yes,23,1,1,0,0
558,No,40,Female,Travel_Rarely,1398,Sales,2,Life Sciences,3,3,3,Married,18041,0,1,Y,No,14,0,20,15,1
560,No,26,Female,Travel_Rarely,1349,Research & Development,23,Life Sciences,1,3,4,Divorced,2886,1,1,Y,No,22,2,3,2,0
562,No,30,Male,Non-Travel,1400,Research & Development,3,Life Sciences,3,3,4,Married,2097,4,1,Y,No,15,1,5,3,1
